Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
white-printed-fit-and-flare-short-tiered-dress,White Printed Fit And Flare Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00WH5062S,400,shopify,50,deny,manual,4299,,true,true,active
white-printed-fit-and-flare-short-tiered-dress,White Printed Fit And Flare Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00WH5062M,400,shopify,50,deny,manual,4299,,true,true,
white-printed-fit-and-flare-short-tiered-dress,White Printed Fit And Flare Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00WH5062L,400,shopify,50,deny,manual,4299,,true,true,
white-printed-fit-and-flare-short-tiered-dress,White Printed Fit And Flare Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00WH5062XL,400,shopify,50,deny,manual,4299,,true,true,
floral-applique-short-tiered-dress,Floral Applique Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OW5063S,400,shopify,50,deny,manual,4199,,true,true,active
floral-applique-short-tiered-dress,Floral Applique Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5063M,400,shopify,50,deny,manual,4199,,true,true,
floral-applique-short-tiered-dress,Floral Applique Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5063L,400,shopify,50,deny,manual,4199,,true,true,
floral-applique-short-tiered-dress,Floral Applique Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5063XL,400,shopify,50,deny,manual,4199,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OW5066S,400,shopify,50,deny,manual,5499,,true,true,active
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5066M,400,shopify,50,deny,manual,5499,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5066L,400,shopify,50,deny,manual,5499,,true,true,
