Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
cotton-embroidered-shirt-with-trouser-co-ords-set,Cotton Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00WH5211S,400,shopify,,deny,manual,,,true,true,active
cotton-embroidered-shirt-with-trouser-co-ords-set,Cotton Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00WH5211M,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouser-co-ords-set,Cotton Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00WH5211L,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouser-co-ords-set,Cotton Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00WH5211XL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouserco-ords-set,Cotton Embroidered Shirt With TrouserCo-Ords Set,<p>Cotton Embroidered Shirt With TrouserCo-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00PH5227S,400,shopify,,deny,manual,,,true,true,active
cotton-embroidered-shirt-with-trouserco-ords-set,Cotton Embroidered Shirt With TrouserCo-Ords Set,<p>Cotton Embroidered Shirt With TrouserCo-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00PH5227M,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouserco-ords-set,Cotton Embroidered Shirt With TrouserCo-Ords Set,<p>Cotton Embroidered Shirt With TrouserCo-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00PH5227L,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouserco-ords-set,Cotton Embroidered Shirt With TrouserCo-Ords Set,<p>Cotton Embroidered Shirt With TrouserCo-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00PH5227XL,400,shopify,,deny,manual,,,true,true,
cotton-embroidered-shirt-with-trouserco-ords-set,Cotton Embroidered Shirt With TrouserCo-Ords Set,<p>Cotton Embroidered Shirt With TrouserCo-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00PH5227XXL,400,shopify,,deny,manual,,,true,true,
cotton-top-with-palazzos-co-ords-set,Cotton Top With Palazzos Co-Ords Set,<p>Cotton Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00PR5232S,400,shopify,,deny,manual,,,true,true,active
